nom_produit;prix;specificites
EXCITAT Haaknaaldenset - Zachte grote haaknaalden - met naald en stekenmarkeerders - Diverse kleuren - Maten 6,5 mm, 7,0 mm, 8,0 mm, 9,0 mm, 10,0 mm;14,08;Materiaal: rubber + metaal, lichtgewicht en duurzaam. De ergonomisch ontworpen zachte siliconen haakgrepen... 1 - 3 weken Verkoop doorMCRIDY COMMERCEWat je kan verwachten 1.106 resultaten Sortering RelevantiePopulariteitPrijs laag - hoogPrijs hoog - laagVerschijningsdatumBeoordelingMeest gewild Gesponsord QY
Ergonomische haaknaalden met softgrip – 8-delig;8,50;(49) Het is weer haaktijd! Van Granny Squares tot complete deken, haak je lossen en vasten met deze fijne... Meestal 8,95 8.95 Je bespaart 5% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorAqua8 ProductsWat je kan verwachten Gesponsord QY
QY luxe Softgrip haaknaaldenset 25-delig met haak& brei accessoires in luxe etui - blauw;18,95;(62) Op zoek naar een mooi cadeautje voor een haakliefhebber? Of een leuk cadeautje voor jezelf? Deze set... Meestal 19,95 19.95 Je bespaart 5% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorAqua8 ProductsWat je kan verwachten SVH Company
De SVH Company haaknaaldenset met opbergetui is de complete set voor de hobbyist die zich bezighoudt...;6,95;In verschillende varianten verkrijgbaar: Multi34,99Blauw39,99 Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSVH CompanyWat je kan verwachten Prym Prym Herstelnaald, Per Stuk. (2) PRODUCT OMSCHRIJVING De Prym-herstelnaald kan voor een breed scala aan toepassingen worden gebruikt.... Uiterlijk 29 december in huis Verkoop doorMulder NaaimachinesWat je kan verwachten Crea2bFun
Solide, uitgebreide stalen haaknaaldenset met haaknaalden, voor al uw haakwerk. In de haaknaaldenset...;6,40;Op voorraad Uiterlijk 20 december in huis Verkoop doorFreeSoWat je kan verwachten REBL
Traditionele chinese bamboe haaknaalden, voor al uw haakwerk. In de haaknaaldenset zitten maar liefst...;9,24;Uiterlijk 23 december in huis Verkoop doorKELERINO.Wat je kan verwachten Clover
Clover Amour haaknaald 8. 00mm - 3st;12,50;In verschillende varianten verkrijgbaar: 2,5 mm10,354 mm12,007 mm12,504,5 mm12,653 mm11,006,5 mm12,40 Uiterlijk 23 december in huis Verkoop doorBram&DebbyWat je kan verwachten Hilvard
Crochet haaknaalden 7 stuks Op zoek naar de perfecte haaknaaldenset voor je volgende crochet project?...;17,95;Uiterlijk 29 december in huis Verkoop doorHilvardWat je kan verwachten Merkloos / Sans marque
Met deze set bent u in 1 keer voorzien van een groot aantal maten haaknaalden. De set bestaat uit zilverkleurige...;6,28;Of bespaar 12% als je er 12 koopt Op voorraad Voor 23:59 uur besteld, zaterdag in huis Verkoop doorANSTROOWat je kan verwachten Akyol Akyol Universele Naalden Set | stopnaalden -set van 25- stopnaald -wolnaalden-Borduur Hobby Naalden - | Textiel Leer & Naai Naaldenset - regenboog - plastic kleuren naalden- 25 verschillende kleuren Plastic naalden setBent u nou ook zo van het naaien of klossen? Dan is deze set perfect voor u! In een... Op voorraad Voor 23:59 uur besteld, zaterdag in huis Verkoop doorTrendworldWat je kan verwachten SVH Company
Deze tunische haaknaaldenset van SVH Company is daarbij uitermate geschikt voor beginners en voor de...;18,99;Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSVH CompanyWat je kan verwachten Amenzo
Amenzo® Haaknaaldenset 45 Delig - Haaknaalden met Softgrip - Haaknaald - Haaknaaldenset voor Volwassenen - Ergonomisch - Haakset met Opdruk;24,95;(5) Een goed georgianiseerde haakset voor de ervaren haker, een mooie set om te beginnen en een leuk cadeau... korting Meestal 34,95 34.95 Je bespaart 29% Voor 23:59 uur besteld, dinsdag in huis Verkoop doorAmenzoWat je kan verwachten Somstyle
Deze Somstyle haaknaaldenset bestaat uit 11 tunische haaknaalden in diverse kleuren en met gemarkeerde...;15,95;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorEasycheckWat je kan verwachten Gesponsord Premiumdesign
Haaknaalden Set inclusief Wol - 67-delig Ontdek de veelzijdigheid van onze Haaknaalden Set inclusief...;27,99;Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorPremium DesignWat je kan verwachten Gesponsord Mondrian
Professionele Haaknaaldenset - Ergonomisch - 9 stuks - Mondrian;13,59;(14) Wie haakt de mooiste pannenlappen van het land? JIJ! Met deze Mondrian haakset. Met deze set van haak... korting Meestal 15,99 15.99 Je bespaart 15% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorThe Donkey BusinessWat je kan verwachten KnitPro
KnitPro Waves 2. 0 haaknaald - Deze kleurrijke haaknaalden zijn niet alleen mooi om te zien, maar ook...;5,95;Meestal 9,52 9.52 Je bespaart 16% Uiterlijk 23 december in huis Verkoop doorCreaPoint.nlWat je kan verwachten Prym Prym Frivolite Spoeltje - Handig spoeltje voor frivolite - 611 744 (2) Het Prym Frivolite spoeltje 611 744 is een handig hulpmiddel voor het maken van frivolite of tatting,... Uiterlijk 29 december in huis Verkoop doorMulder NaaimachinesWat je kan verwachten Clover
Clover Soft Touch haaknaald - De naam zegt het al. Deze naalden hebben een heerlijk zacht handvat en...;10,10;Of bespaar 20% als je er 6 koopt Uiterlijk 23 december in huis Verkoop doorNaaimachine SuperstoreWat je kan verwachten Clover
Clover Amour haaknaald staal 1. 50mm - 3st;10,95;In verschillende varianten verkrijgbaar: Multikleur12,95 Uiterlijk 29 december in huis Verkoop doorMooren Naaimachines TegelenWat je kan verwachten Sitna
Deze praktische haaknaaldenset is ideaal voor de hobbyist. Dankzij alle verschillende maten haken kunt...;14,95;Uiterlijk 27 december in huis Verkoop doorMStadWat je kan verwachten Direct Sales
6 Haaknaalden met grip omhulsel 15 cm lang 2. 0 -2. 5 - 3. 0 - 4. 0 - 5. 0 - 6. 0;5,99;Uiterlijk 22 december in huis Verkoop doorISREWat je kan verwachten Addi
Addi Swing haaknaalden 16cm 2. 50mm - 1st Met de Addi Swing haaknaalden wordt haken nog leuker en comfortabeler!...;15,95;In verschillende varianten verkrijgbaar: Multikleur16,95Multikleur18,15 Uiterlijk 29 december in huis Verkoop doorstitchingfactoryWat je kan verwachten New Age Devi
In dit haaknaaldensetje zitten 9 haaknaalden met softgrip. Deze Softgrip zorgt ervoor dat je ze gemakkelijk...;8,95;in prijs verlaagd Of bespaar 18% als je er 4 koopt Op voorraad Voor 23:59 uur besteld, zaterdag in huis Verkoop doorNew Age DeviWat je kan verwachten BukkitBow
BukkitBow - Haaknaaldenset - 12 Delige Ergonomische Naaldenset - Anti Slip Handvat Er zijn veel mensen...;18,99;Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorBukkitBow.comWat je kan verwachten Igoods
Op zoek naar de perfecte haaknaaldenset die aan al je behoeften voldoet? Dan hoef je niet verder te zoeken!...;11,95;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorDeallweb.beWat je kan verwachten Clover
Clover Amour haaknaald staal 1. 75mm;11,65;In verschillende varianten verkrijgbaar: Multikleur10,95Multikleur11,00Multikleur13,90Multikleur9,95 Uiterlijk 29 december in huis Verkoop doorAPC Stoffen en FourniturenWat je kan verwachten Gesponsord Somstyle
Deze Somstyle haaknaaldenset bestaat uit 11 flexibele tunische haaknaalden in diverse kleuren en met...;14,95;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorEasycheckWat je kan verwachten Gesponsord SVH Company
Ergonomische Haaknaalden Dankzij het ergonomisch ontwerp is urenlang haken geen enkel probleem! De haaknaalden...;12,99;Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSVH CompanyWat je kan verwachten Tulip
Tulip Etimo Red Haaknaald - Deze luxe rode haaknaald is de vernieuwde variant van de roze tulip etimo...;12,88;In verschillende varianten verkrijgbaar: Rood15,95Rood15,95Rood19,00Rood15,95Rood15,95Rood14,95 Of bespaar 2% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorPakhuis.euWat je kan verwachten Dolaso Dolaso Set van 25 korte dubbelpuntige breinaalden roestvrijstalen naalden met dubbele punt voor het breien van sokken (1) Verkrijgbaar in verschillende breedtes: De set met dubbelpuntige naalden van 20 cm bevat 5 sets sokkennaalden... 1 - 2 weken Verkoop doorIgutechWat je kan verwachten 1.106 resultaten Sortering RelevantiePopulariteitPrijs laag - hoogPrijs hoog - laagVerschijningsdatumBeoordelingMeest gewild Gesponsord QY
Ergonomische haaknaalden met softgrip – 8-delig;8,50;(49) Het is weer haaktijd! Van Granny Squares tot complete deken, haak je lossen en vasten met deze fijne... Meestal 8,95 8.95 Je bespaart 5% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorAqua8 ProductsWat je kan verwachten Gesponsord QY
QY luxe Softgrip haaknaaldenset 25-delig met haak& brei accessoires in luxe etui - blauw;19,99;(62) Op zoek naar een mooi cadeautje voor een haakliefhebber? Of een leuk cadeautje voor jezelf? Deze set... Meestal 19,95 19.95 Je bespaart 5% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorAqua8 ProductsWat je kan verwachten Everdean Haakring 4 Stuks – Voor je Vinger - Draadgeleider voor Comfortabel Haken – Verstelbaar – Paars / Groen / Roze / Blauw Ben jij dol op haken of breien, maar krijg je soms last van je vingers of een garen dat niet meewerkt?... Of bespaar 5% als je er 2 koopt Uiterlijk 29 december in huis Verkoop doorEverdean BEWat je kan verwachten Knaak
Knaak Ergonomische Haaknaalden 9-delige - Soft Grip - Haken - Breien Maak haken nog leuker én comfortabeler...;8,90;In verschillende varianten verkrijgbaar: Regenboog kleur14,95Multi8,95Multi colour6,95 Of bespaar 6% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorKnaakWat je kan verwachten Prym Haakringen kunststof 39 mm - 30 stuks - Prym (1) Prym haakringen 39mm zijn een handig hulpmiddel om duidelijk en stevig een ring te kunnen haken. Daaromheen... Of bespaar 20% als je er 6 koopt Uiterlijk 23 december in huis Verkoop doorNaaimachine SuperstoreWat je kan verwachten Meer verkopers vanaf 8,49 per stuk KnitPro
KnitPro Dreamz Tunische haaknaaldenset Deluxe Dreamz Tunesische haaknaaldensets zijn net zo mooi om naar...;89,95;1 - 3 weken Verkoop doorFournituren van ViegenWat je kan verwachten Clover
Voor iedereen die van haken houdt hebben wij alle soorten en maten haaknaalden zoals Clover Soft Touch...;7,60;Meestal 8,75 8.75 Je bespaart 13% Uiterlijk 23 december in huis Verkoop doorNaaimachine SuperstoreWat je kan verwachten Clover
Voor iedereen die van haken houdt hebben wij alle soorten en maten haaknaalden zoals Clover Soft Touch...;8,40;Of bespaar 2% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorPakhuis.euWat je kan verwachten SVH Company
Ergonomische Haaknaalden Dankzij het ergonomisch ontwerp is urenlang haken geen enkel probleem! De haaknaalden...;12,99;Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSVH CompanyWat je kan verwachten Merkloos / Sans marque
5PCS Latch Hook, Verschillende Maten Kleine Haaknaalden Naald - Haar Vlecht Gereedschap - Haar Vlechten, Tapijt Maken;12,99;1 st. kleine 0,15-inch plastic pinhaken voor haarvlechten, vuile vlechten en haarextensies. 1 st. 0,21-inch... 1 - 3 weken Verkoop doorKorelairWat je kan verwachten Clover
Clover soft touch haaknaald heeft een zachte en ergonomische handgreep. De haaknaald heeft een optimale...;8,75;Uiterlijk 29 december in huis Verkoop doorMooren Naaimachines TegelenWat je kan verwachten Clover
Clover Amour haaknaaldenset 0. 60-1. 75mm - 1st;44,95;Uiterlijk 23 december in huis Verkoop doorMulder NaaimachinesWat je kan verwachten Meer verkopers vanaf 43,95 Clover
Clover soft touch haaknaald heeft een zachte en ergonomische handgreep. De haaknaald heeft een optimale...;8,95;Uiterlijk 29 december in huis Verkoop doorMooren Naaimachines TegelenWat je kan verwachten Gesponsord Premiumdesign
Haaknaalden Set inclusief Wol - 67-delig Ontdek de veelzijdigheid van onze Haaknaalden Set inclusief...;27,99;Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorPremium DesignWat je kan verwachten Gesponsord Mondrian
Professionele Haaknaaldenset - Ergonomisch - 9 stuks - Mondrian;13,59;(14) Wie haakt de mooiste pannenlappen van het land? JIJ! Met deze Mondrian haakset. Met deze set van haak... korting Meestal 15,99 15.99 Je bespaart 15% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorThe Donkey BusinessWat je kan verwachten Addi
Deze haaknaald is 16cm lang en 3 mm dik. Haaknaald Addi Swing De Haaknaald Addi Swing is een prachtige...;15,95;Meestal 17,85 17.85 Je bespaart 11% Uiterlijk 22 december in huis Verkoop doorRUAN onlineWat je kan verwachten Tulip
Tulp Etimo Rose haaknaalden set softgrip - 1st Met de Tulip Etimo Rose haaknaalden set met softgrip haak...;47,50;Uiterlijk 29 december in huis Verkoop doorstitchingfactoryWat je kan verwachten Denise
Denise - Love2Crochet -Tunische haaknaaldenset - Pastel;7,50;(4) Denise love2crochet is een bekend Amerikaans merk dat al vele enthousiaste reviews mocht ontvangen. De... Uiterlijk 23 december in huis Verkoop doorBram&DebbyWat je kan verwachten KnitPro KnitPro Kabel connector. (1) KnitPro Kabel Connector - Met de kabel connector van KnitPro kan je losse verlengkabels verbinden met... Of bespaar 20% als je er 6 koopt Uiterlijk 23 december in huis Verkoop doorNaaimachine SuperstoreWat je kan verwachten Meer verkopers vanaf 6,95 per stuk Lammy Yarns
Lammy haaknaald 4. 5 mm 14 cm langHaaknaalden met een softgrip handvat zijn dikker dan een normale haaknaald...;4,99;Uiterlijk 23 december in huis Verkoop doorDe hobbyvlinderWat je kan verwachten Clover
Clover soft touch haaknaald heeft een zachte en ergonomische handgreep. De haaknaald heeft een optimale...;8,50;Uiterlijk 29 december in huis Verkoop doorMooren Naaimachines TegelenWat je kan verwachten BOTC
BOTC haaknaalden zijn gemaakt van hoogwaardig aluminium voor een lange levensduur. De ergonomische handgreep...;14,98;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorOranje internationaleWat je kan verwachten Clover
Clover soft touch haaknaald heeft een zachte en ergonomische handgreep. De haaknaald heeft een optimale...;32,68;Uiterlijk 29 december in huis Verkoop doorMooren Naaimachines TegelenWat je kan verwachten Merkloos / Sans marque 13 paar verwisselbare rondbreinaalden, 2,75-10 mm naalden (10 cm lang), aluminium rondbreinaalden, rondbreinaalden voor dikke wol,Inclusief opbergtas, kleurrijk Verwisselbare rondbreinaaldensets in verschillende maten: Deze prachtige rondbreinaaldenset bevat 13... 1 - 3 weken Verkoop doorEWERRONAWat je kan verwachten Merkloos / Sans marque
Waarom Kiezen voor Onze Haaknaaldenset? Ontdek de perfecte combinatie van kwaliteit en veelzijdigheid...;11,99;Meestal 16,99 16.99 Je bespaart 29% 1 - 3 weken Verkoop doorNeoTradeWat je kan verwachten LOUZIR
LOUZIR 100 Delige haaknaalden set - Haaknaaldenset volwassenen - Breinaalden set - Hobby set - Haken...;9,88;Op voorraad Uiterlijk 20 december in huis Verkoop doorFreeSoWat je kan verwachten Gesponsord Somstyle
Deze Somstyle haaknaaldenset bestaat uit 11 flexibele tunische haaknaalden in diverse kleuren en met...;14,95;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorEasycheckWat je kan verwachten Gesponsord Somstyle
Deze Somstyle haaknaaldenset bestaat uit 11 tunische haaknaalden in diverse kleuren en met gemarkeerde...;15,95;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorEasycheckWat je kan verwachten Merkloos / Sans marque
Maak de mooiste gehaakte creaties met deze Avec bamboe haaknaalden. Ze liggen heerlijk in de hand en...;12,99;Uiterlijk 29 december in huis Verkoop doorStijlRijkWat je kan verwachten The Crochet Lite
The Crochet Lite Haaknaaldenset 2. 50-6. 50mm - 1st;39,95;Uiterlijk 29 december in huis Verkoop doorMulder NaaimachinesWat je kan verwachten 1.106 resultaten Sortering RelevantiePopulariteitPrijs laag - hoogPrijs hoog - laagVerschijningsdatumBeoordelingMeest gewild Gesponsord QY
Ergonomische haaknaalden met softgrip – 8-delig;8,50;(49) Het is weer haaktijd! Van Granny Squares tot complete deken, haak je lossen en vasten met deze fijne... Meestal 8,95 8.95 Je bespaart 5% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorAqua8 ProductsWat je kan verwachten Gesponsord QY
QY luxe Softgrip haaknaaldenset 25-delig met haak& brei accessoires in luxe etui - blauw;18,95;(62) Op zoek naar een mooi cadeautje voor een haakliefhebber? Of een leuk cadeautje voor jezelf? Deze set... Meestal 19,95 19.95 Je bespaart 5% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorAqua8 ProductsWat je kan verwachten Hilvard
Crochet haaknaalden 9 stuks Op zoek naar de perfecte haaknaaldenset voor je volgende crochet project?...;13,50;korting Meestal 15,95 15.95 Je bespaart 15% Uiterlijk 29 december in huis Verkoop doorHilvardWat je kan verwachten Foxoo
Start met haken of breid je verzameling uit met deze kleurrijke haaknaaldenset in roze etui Ben jij gek...;16,95;Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorAqua8 ProductsWat je kan verwachten Tulip
Tulip Etimo Rose haaknaalden softgrip 4. 50mm - Per stukMet dezeTulip Etimo Rose haaknaalden haak je...;15,50;In verschillende varianten verkrijgbaar: Multikleur15,50Multikleur15,50Multikleur15,50Multikleur15,50Multikleur15,50Multikleur15,50 Voor 23:59 uur besteld, maandag in huis Verkoop doorHaken en breienWat je kan verwachten Somstyle
Met de Somstyle ergonomische haaknaaldenset haal je een kleurrijk en comfortabel hulpmiddel in huis voor...;14,95;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorEasycheckWat je kan verwachten Somstyle
De Somstyle 45-delige haaknaaldenset is een must-have voor elke haakliefhebber. Deze set bevat 14 ergonomische...;25,95;korting Meestal 29,95 29.95 Je bespaart 13% Voor 23:59 uur besteld, dinsdag in huis Verkoop doorEasycheckWat je kan verwachten KnitPro
KnitPro Symfonie Afghaans Tunische haaknaalden 4. 50mm - 3st;11,50;in prijs verlaagd Meestal 13,50 13.50 Je bespaart 15% Uiterlijk 23 december in huis Verkoop doorNaaimachine SuperstoreWat je kan verwachten longziming
NAADLOZE HAAKERVARING Onze lange haaknaalden zijn vervaardigd met een glad, gepolijst oppervlak waardoor...;11,36;Uiterlijk 30 december in huis Verkoop doorBytebazaarWat je kan verwachten Cheaperito
Voor de echte brei liefhebber is deze 12-delige haaknaalden set een must have. Ideaal voor hobbyisten....;7,99;Of bespaar 8% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorCheaperitoWat je kan verwachten Live
De Livé® Haaknaalden Set is ideaal voor zowel beginners als ervaren haakliefhebbers. Deze complete set...;19,95;Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop dooroCreonWat je kan verwachten Clover
Haaknaald met fijne zachte grip voor urenlang haakplezier.;7,60;Meestal 8,95 8.95 Je bespaart 15% Uiterlijk 23 december in huis Verkoop doorNaaimachine SuperstoreWat je kan verwachten Muud
Haaknaalden Set inclusief Wol - 67-delig Ontdek de veelzijdigheid van onze Haaknaalden Set inclusief...;27,99;Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorPremium DesignWat je kan verwachten Gesponsord Mondrian
Professionele Haaknaaldenset - Ergonomisch - 9 stuks - Mondrian;13,59;(14) Wie haakt de mooiste pannenlappen van het land? JIJ! Met deze Mondrian haakset. Met deze set van haak... korting Meestal 15,99 15.99 Je bespaart 15% Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorThe Donkey BusinessWat je kan verwachten Prym
Deze aluminium haaknaalden met softgrip van Prym kenmerken zich door hun lichte gewicht en optimale vorm....;28,95;Uiterlijk 29 december in huis Verkoop doorMulder NaaimachinesWat je kan verwachten Addi
Addi Swing haaknaalden 16cm 5. 00mm - 1st;16,25;Meestal 18,25 18.25 Je bespaart 11% Uiterlijk 29 december in huis Verkoop doorstitchingfactoryWat je kan verwachten Addi
Haaknaald Addi Swing De Haaknaald Addi Swing is een prachtige haaknaald met een gebalanceerd handvat...;17,85;6 dagen Verkoop doorRDGshopsWat je kan verwachten
Pony Ergonomische Haaknaalden met dikke softgrip handvatten liggen goed in de hand, en voorkomen vooral...;11,50;Uiterlijk 29 december in huis Verkoop doorHandwerkhuis De RozetWat je kan verwachten KnitPro
KnitPro Waves 2. 0 haaknaalden zijn de vertrouwde KnitPro Waves haaknaalden in een nieuw jasje. Deze...;38,75;6 dagen Verkoop doorWoolstreetWat je kan verwachten KnitPro
KnitPro Waves 2. 0 haaknaald - Deze kleurrijke haaknaalden zijn niet alleen mooi om te zien, maar ook...;7,78;Of bespaar 13% als je er 2 koopt Uiterlijk 23 december in huis Verkoop doorCreaPoint.nlWat je kan verwachten Meer verkopers vanaf 7,50 per stuk Merkloos / Sans marque
haaknaald 10 mmhaakgedeelte 4 cmgrip 9,7 cm;7,95;Meestal 9,00 9.00 Je bespaart 12% Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Addi
Addi Swing Maxi haaknaalden 17cm 4. 50mm - 1st;18,25;Uiterlijk 29 december in huis Verkoop doorHandwerkhuis De RozetWat je kan verwachten Excitat
